Frequency, Hz	Amplitude, dBm
1.421153333E+9	-8.322879000E+1
1.421156667E+9	-8.315432000E+1
1.421160000E+9	-8.319654000E+1
1.421163333E+9	-8.322334000E+1
1.421166667E+9	-8.304549000E+1
1.421170000E+9	-8.305898000E+1
1.421173333E+9	-8.319788000E+1
1.421176667E+9	-8.230787000E+1
1.421180000E+9	-8.078513000E+1
1.421183333E+9	-8.315170000E+1
1.421186667E+9	-8.319218000E+1
1.421190000E+9	-8.301795000E+1
1.421193333E+9	-8.298486000E+1
1.421196667E+9	-8.309831000E+1
1.421200000E+9	-8.303275000E+1
1.421203333E+9	-8.303657000E+1
1.421206667E+9	-8.300680000E+1
1.421210000E+9	-8.297301000E+1
1.421213333E+9	-8.276874000E+1
1.421216667E+9	-8.314043000E+1
1.421220000E+9	-8.317828000E+1
1.421223333E+9	-8.316541000E+1
1.421226667E+9	-8.318893000E+1
1.421230000E+9	-8.323000000E+1
1.421233333E+9	-8.321909000E+1
1.421236667E+9	-8.323714000E+1
1.421240000E+9	-8.331486000E+1
1.421243333E+9	-8.305978000E+1
1.421246667E+9	-8.313577000E+1
1.421250000E+9	-8.323863000E+1
1.421253333E+9	-8.316370000E+1
1.421256667E+9	-8.329908000E+1
1.421260000E+9	-8.308768000E+1
1.421263333E+9	-8.325320000E+1
1.421266667E+9	-8.318954000E+1
1.421270000E+9	-8.313960000E+1
1.421273333E+9	-8.324108000E+1
1.421276667E+9	-8.312283000E+1
1.421280000E+9	-8.304404000E+1
1.421283333E+9	-8.321024000E+1
1.421286667E+9	-8.333360000E+1
1.421290000E+9	-8.326166000E+1
1.421293333E+9	-8.320315000E+1
1.421296667E+9	-8.317075000E+1
1.421300000E+9	-8.309660000E+1
1.421303333E+9	-8.327293000E+1
1.421306667E+9	-8.326247000E+1
1.421310000E+9	-8.321783000E+1
1.421313333E+9	-8.327016000E+1
1.421316667E+9	-8.306909000E+1
1.421320000E+9	-8.320239000E+1
1.421323333E+9	-8.329361000E+1
1.421326667E+9	-8.322654000E+1
1.421330000E+9	-8.331959000E+1
1.421333333E+9	-8.325655000E+1
1.421336667E+9	-8.319200000E+1
1.421340000E+9	-8.329108000E+1
1.421343333E+9	-8.318064000E+1
1.421346667E+9	-8.329530000E+1
1.421350000E+9	-8.320081000E+1
1.421353333E+9	-8.310984000E+1
1.421356667E+9	-8.307266000E+1
1.421360000E+9	-8.312147000E+1
1.421363333E+9	-8.321053000E+1
1.421366667E+9	-8.283064000E+1
1.421370000E+9	-8.312163000E+1
1.421373333E+9	-8.324805000E+1
1.421376667E+9	-8.314069000E+1
1.421380000E+9	-8.331856000E+1
1.421383333E+9	-8.332694000E+1
1.421386667E+9	-8.313866000E+1
1.421390000E+9	-8.304762000E+1
1.421393333E+9	-8.289106000E+1
1.421396667E+9	-8.326376000E+1
1.421400000E+9	-8.327280000E+1
